condition,round,semdis,id
control,3,1.1155,ego_ctrl_27
control,3,1.09601,ego_ctrl_28
control,3,0.96278,ego_ctrl_29
control,3,1.0862,ego_ctrl_30
control,3,1.07568,ego_ctrl_31
control,3,1.03884,ego_ctrl_32
control,3,0.95717,ego_ctrl_33
control,3,1.04565,ego_ctrl_34
control,3,1.01467,ego_ctrl_35
control,3,1.07413,ego_ctrl_36
control,3,1.04869,ego_ctrl_37
control,3,0.96289,ego_ctrl_38
control,3,1.0688,ego_ctrl_39
control,3,1.0365,ego_ctrl_40
control,3,1.05091,ego_ctrl_41
control,3,1.01889,ego_ctrl_42
control,3,1.06275,ego_ctrl_43
control,3,1.07518,ego_ctrl_44
control,3,1.13076,ego_ctrl_45
control,3,1.07795,ego_ctrl_46
control,3,1.08604,ego_ctrl_47
control,3,1.09603,ego_ctrl_48
control,3,1.01596,ego_ctrl_49
control,3,1.05234,ego_ctrl_50
control,3,1.09331,ego_ctrl_51
control,3,1.04417,ego_ctrl_52
control,3,1.05754,ego_ctrl_53
control,3,0.92134,ego_ctrl_54
control,3,1.06231,ego_ctrl_55
control,3,1.06134,ego_ctrl_56
control,3,0.97347,ego_ctrl_57
control,3,1.1415,ego_ctrl_58
control,3,0.97768,ego_ctrl_59
control,3,1.1407,ego_ctrl_60
control,3,0.99712,ego_ctrl_61
control,3,1.07168,ego_ctrl_62
control,3,1.06586,ego_ctrl_63
control,3,1.14824,ego_ctrl_64
control,3,1.04869,ego_ctrl_65
control,3,1.04448,ego_ctrl_66
control,3,1.08821,ego_ctrl_67
control,3,1.10823,ego_ctrl_68
control,3,0.99559,ego_ctrl_69
control,3,0.98004,ego_ctrl_70
control,3,1.07775,ego_ctrl_71
control,3,1.03481,ego_ctrl_72
control,3,1.08956,ego_ctrl_73
control,3,1.0521,ego_ctrl_74
control,3,1.0509,ego_ctrl_75
control,3,1.10032,ego_ctrl_76
control,3,1.0576,ego_ctrl_77
control,3,0.97538,ego_ctrl_78
control,3,1.03523,ego_ctrl_79
control,3,1.08212,ego_ctrl_80
control,3,1.05376,ego_ctrl_81
control,3,1.03156,ego_ctrl_82
control,3,0.97843,ego_ctrl_83
control,3,1.13162,ego_ctrl_84
control,3,1.16006,ego_ctrl_85
control,3,1.06554,ego_ctrl_86
control,3,1.02583,ego_ctrl_87
control,3,0.90864,ego_ctrl_88
control,3,1.04717,ego_ctrl_89
control,3,1.07838,ego_ctrl_90
control,3,1.03953,ego_ctrl_91
control,3,1.02683,ego_ctrl_92
control,3,0.85885,ego_ctrl_93
control,3,0.99357,ego_ctrl_94
control,3,0.98492,ego_ctrl_95
control,3,1.06667,ego_ctrl_96
control,3,1.06608,ego_ctrl_97
control,3,1.00546,ego_ctrl_98
control,3,1.0157,ego_ctrl_99
control,3,1.03951,ego_ctrl_100
control,3,1.10623,ego_ctrl_101
control,3,1.00441,ego_ctrl_102
control,3,1.04177,ego_ctrl_103
control,3,1.07413,ego_ctrl_104
control,3,1.0618,ego_ctrl_105
control,3,1.07413,ego_ctrl_106
control,3,0.99198,ego_ctrl_107
control,3,1.00647,ego_ctrl_108
control,3,1.01752,ego_ctrl_109
control,3,1.06973,ego_ctrl_110
control,3,1.07413,ego_ctrl_111
control,3,1.07752,ego_ctrl_112
control,3,1.09747,ego_ctrl_113
control,3,0.97457,ego_ctrl_114
control,3,1.00956,ego_ctrl_115
control,3,1.0218,ego_ctrl_116
control,3,1.09969,ego_ctrl_117
control,3,1.03823,ego_ctrl_118
control,3,1.07168,ego_ctrl_119
control,3,1.03153,ego_ctrl_120
control,3,1.15617,ego_ctrl_121
control,3,1.07413,ego_ctrl_122
control,3,1.11198,ego_ctrl_123
control,3,1.15077,ego_ctrl_124
control,3,1.06298,ego_ctrl_125
control,3,1.09049,ego_ctrl_126
control,3,1.01005,ego_ctrl_127
control,3,0.98237,ego_ctrl_128
control,3,1.02285,ego_ctrl_129
control,3,1.07914,ego_ctrl_130
control,3,1.06986,ego_ctrl_131
control,3,0.99758,ego_ctrl_132
control,3,0.94362,ego_ctrl_133
control,3,1.02974,ego_ctrl_134
control,3,0.97665,ego_ctrl_135
control,3,0.99107,ego_ctrl_136
control,3,1.00265,ego_ctrl_137
control,3,1.02272,ego_ctrl_138
control,3,1.10662,ego_ctrl_139
control,3,1.04565,ego_ctrl_140
control,3,1.0981,ego_ctrl_141
control,3,0.96545,ego_ctrl_142
control,3,1.03517,ego_ctrl_143
control,3,1.1368,ego_ctrl_144
control,3,1.05027,ego_ctrl_145
control,3,0.99422,ego_ctrl_146
control,3,0.97484,ego_ctrl_147
control,3,1.06238,ego_ctrl_148
control,3,1.03024,ego_ctrl_149
control,3,1.07967,ego_ctrl_150
control,3,1.09684,ego_ctrl_151
control,3,1.04671,ego_ctrl_152
control,3,0.9815,ego_ctrl_153
control,3,1.13083,ego_ctrl_154
control,3,0.97128,ego_ctrl_155
control,3,1.04869,ego_ctrl_156
control,3,0.99967,ego_ctrl_157
control,3,1.07352,ego_ctrl_158
control,3,1.05864,ego_ctrl_159
control,3,0.99288,ego_ctrl_160
control,3,1.03995,ego_ctrl_161
control,3,1.0524,ego_ctrl_162
control,3,0.96871,ego_ctrl_163
control,3,0.98541,ego_ctrl_164
control,3,1.04869,ego_ctrl_165
control,3,1.13327,ego_ctrl_166
control,3,0.94414,ego_ctrl_167
control,3,0.96145,ego_ctrl_168
control,3,1.05598,ego_ctrl_169
control,3,1.02285,ego_ctrl_170
control,3,1.04305,ego_ctrl_171
control,3,1.05776,ego_ctrl_172
control,3,1.01368,ego_ctrl_173
control,3,1.0531,ego_ctrl_174
control,3,1.12567,ego_ctrl_175
control,3,0.9515,ego_ctrl_176
control,3,1.03949,ego_ctrl_177
control,3,1.07124,ego_ctrl_178
control,3,1.04661,ego_ctrl_179
control,3,1.03258,ego_ctrl_180
treatment,3,1.08495,ego_trt_1
treatment,3,0.9998,ego_trt_2
treatment,3,1.06294,ego_trt_3
treatment,3,1.01295,ego_trt_4
treatment,3,1.0047,ego_trt_5
treatment,3,1.01732,ego_trt_6
treatment,3,1.07132,ego_trt_7
treatment,3,1.06069,ego_trt_8
treatment,3,1.14165,ego_trt_9
treatment,3,1.09506,ego_trt_10
treatment,3,1.04795,ego_trt_11
treatment,3,0.96278,ego_trt_12
treatment,3,1.02465,ego_trt_13
treatment,3,1.00538,ego_trt_14
treatment,3,1.10114,ego_trt_15
treatment,3,1.12627,ego_trt_16
treatment,3,1.05432,ego_trt_17
treatment,3,1.06298,ego_trt_18
treatment,3,0.98967,ego_trt_19
treatment,3,1.05431,ego_trt_20
treatment,3,1.03093,ego_trt_21
treatment,3,1.02315,ego_trt_22
treatment,3,0.99594,ego_trt_23
treatment,3,0.9769,ego_trt_24
treatment,3,1.04472,ego_trt_25
treatment,3,1.10391,ego_trt_26
treatment,3,1.06494,ego_trt_27
treatment,3,1.03144,ego_trt_28
treatment,3,1.1368,ego_trt_29
treatment,3,1.00554,ego_trt_30
treatment,3,1.07413,ego_trt_31
treatment,3,0.95289,ego_trt_32
treatment,3,1.07211,ego_trt_33
treatment,3,1.00632,ego_trt_34
treatment,3,1.07838,ego_trt_35
treatment,3,1.00097,ego_trt_36
treatment,3,1.05453,ego_trt_37
treatment,3,1.03654,ego_trt_38
treatment,3,1.0887,ego_trt_39
treatment,3,0.99377,ego_trt_40
treatment,3,1.0824,ego_trt_41
treatment,3,0.96802,ego_trt_42
treatment,3,0.99925,ego_trt_43
treatment,3,1.05087,ego_trt_44
treatment,3,1.02574,ego_trt_45
treatment,3,1.03401,ego_trt_46
treatment,3,1.0656,ego_trt_47
treatment,3,1.04127,ego_trt_48
treatment,3,1.04939,ego_trt_49
treatment,3,1.11684,ego_trt_50
treatment,3,0.9654,ego_trt_51
treatment,3,1.0534,ego_trt_52
treatment,3,1.07168,ego_trt_53
treatment,3,1.07869,ego_trt_54
treatment,3,1.09893,ego_trt_55
treatment,3,1.0051,ego_trt_56
treatment,3,1.03517,ego_trt_57
treatment,3,1.04725,ego_trt_58
treatment,3,1.07439,ego_trt_59
treatment,3,1.05972,ego_trt_60
treatment,3,1.05998,ego_trt_61
treatment,3,1.02802,ego_trt_62
treatment,3,1.01993,ego_trt_63
treatment,3,0.92442,ego_trt_64
treatment,3,1.02787,ego_trt_65
treatment,3,1.12315,ego_trt_66
treatment,3,1.05265,ego_trt_67
treatment,3,0.97797,ego_trt_68
treatment,3,1.03992,ego_trt_69
treatment,3,1.00974,ego_trt_70
treatment,3,1.00206,ego_trt_71
treatment,3,1.16935,ego_trt_72
treatment,3,1.06231,ego_trt_73
treatment,3,1.02048,ego_trt_74
treatment,3,1.03381,ego_trt_75
treatment,3,1.00893,ego_trt_76
treatment,3,1.07598,ego_trt_77
treatment,3,0.94603,ego_trt_78
treatment,3,1.03464,ego_trt_79
treatment,3,0.98961,ego_trt_80
treatment,3,1.01488,ego_trt_81
treatment,3,1.11503,ego_trt_82
treatment,3,1.10038,ego_trt_83
treatment,3,1.035,ego_trt_84
treatment,3,1.07325,ego_trt_85
treatment,3,1.11198,ego_trt_86
treatment,3,1.06572,ego_trt_87
treatment,3,0.97023,ego_trt_88
treatment,3,1.07168,ego_trt_89
treatment,3,1.06335,ego_trt_90
treatment,3,1.07319,ego_trt_91
treatment,3,1.05031,ego_trt_92
treatment,3,1.03517,ego_trt_93
treatment,3,1.02002,ego_trt_94
treatment,3,1.00168,ego_trt_95
treatment,3,0.99701,ego_trt_96
treatment,3,1.05325,ego_trt_97
treatment,3,1.04173,ego_trt_98
treatment,3,1.08187,ego_trt_99
treatment,3,1.14831,ego_trt_100
treatment,3,1.03941,ego_trt_101
treatment,3,1.01166,ego_trt_102
treatment,3,1.1271,ego_trt_103
treatment,3,1.08415,ego_trt_104
treatment,3,1.04905,ego_trt_105
treatment,3,1.16012,ego_trt_106
treatment,3,1.06632,ego_trt_107
treatment,3,1.06603,ego_trt_108
