marginal_distinct_cnt,condition,round,network_size,id
5,treatment,5,13,ego_trt_85
1,treatment,5,14,ego_trt_86
4,treatment,5,15,ego_trt_87
3,treatment,5,16,ego_trt_88
3,treatment,5,17,ego_trt_89
1,treatment,5,18,ego_trt_90
4,treatment,2,1,ego_trt_91
2,treatment,2,2,ego_trt_92
4,treatment,2,3,ego_trt_93
2,treatment,2,4,ego_trt_94
3,treatment,2,5,ego_trt_95
3,treatment,2,6,ego_trt_96
2,treatment,2,7,ego_trt_97
2,treatment,2,8,ego_trt_98
4,treatment,2,9,ego_trt_99
6,treatment,2,10,ego_trt_100
2,treatment,2,11,ego_trt_101
1,treatment,2,12,ego_trt_102
3,treatment,2,13,ego_trt_103
3,treatment,2,14,ego_trt_104
2,treatment,2,15,ego_trt_105
2,treatment,2,16,ego_trt_106
4,treatment,2,17,ego_trt_107
1,treatment,2,18,ego_trt_108
5,treatment,3,1,ego_trt_91
4,treatment,3,2,ego_trt_92
6,treatment,3,3,ego_trt_93
5,treatment,3,4,ego_trt_94
5,treatment,3,5,ego_trt_95
3,treatment,3,6,ego_trt_96
3,treatment,3,7,ego_trt_97
3,treatment,3,8,ego_trt_98
6,treatment,3,9,ego_trt_99
5,treatment,3,10,ego_trt_100
3,treatment,3,11,ego_trt_101
2,treatment,3,12,ego_trt_102
3,treatment,3,13,ego_trt_103
2,treatment,3,14,ego_trt_104
1,treatment,3,15,ego_trt_105
2,treatment,3,16,ego_trt_106
6,treatment,3,17,ego_trt_107
1,treatment,3,18,ego_trt_108
6,treatment,4,1,ego_trt_91
4,treatment,4,2,ego_trt_92
3,treatment,4,3,ego_trt_93
4,treatment,4,4,ego_trt_94
4,treatment,4,5,ego_trt_95
3,treatment,4,6,ego_trt_96
5,treatment,4,7,ego_trt_97
4,treatment,4,8,ego_trt_98
5,treatment,4,9,ego_trt_99
4,treatment,4,10,ego_trt_100
3,treatment,4,11,ego_trt_101
3,treatment,4,12,ego_trt_102
6,treatment,4,13,ego_trt_103
2,treatment,4,14,ego_trt_104
2,treatment,4,15,ego_trt_105
3,treatment,4,16,ego_trt_106
3,treatment,4,17,ego_trt_107
3,treatment,4,18,ego_trt_108
6,treatment,5,1,ego_trt_91
4,treatment,5,2,ego_trt_92
5,treatment,5,3,ego_trt_93
3,treatment,5,4,ego_trt_94
4,treatment,5,5,ego_trt_95
3,treatment,5,6,ego_trt_96
5,treatment,5,7,ego_trt_97
3,treatment,5,8,ego_trt_98
3,treatment,5,9,ego_trt_99
5,treatment,5,10,ego_trt_100
2,treatment,5,11,ego_trt_101
2,treatment,5,12,ego_trt_102
5,treatment,5,13,ego_trt_103
2,treatment,5,14,ego_trt_104
2,treatment,5,15,ego_trt_105
1,treatment,5,16,ego_trt_106
3,treatment,5,17,ego_trt_107
3,treatment,5,18,ego_trt_108
6,treatment,2,1,ego_trt_109
5,treatment,2,2,ego_trt_110
3,treatment,2,3,ego_trt_111
0,treatment,2,4,ego_trt_112
3,treatment,2,5,ego_trt_113
1,treatment,2,6,ego_trt_114
4,treatment,2,7,ego_trt_115
4,treatment,2,8,ego_trt_116
2,treatment,2,9,ego_trt_117
2,treatment,2,10,ego_trt_118
2,treatment,2,11,ego_trt_119
2,treatment,2,12,ego_trt_120
3,treatment,2,13,ego_trt_121
2,treatment,2,14,ego_trt_122
1,treatment,2,15,ego_trt_123
2,treatment,2,16,ego_trt_124
2,treatment,2,17,ego_trt_125
3,treatment,2,18,ego_trt_126
6,treatment,3,1,ego_trt_109
4,treatment,3,2,ego_trt_110
3,treatment,3,3,ego_trt_111
4,treatment,3,4,ego_trt_112
4,treatment,3,5,ego_trt_113
1,treatment,3,6,ego_trt_114
3,treatment,3,7,ego_trt_115
3,treatment,3,8,ego_trt_116
2,treatment,3,9,ego_trt_117
3,treatment,3,10,ego_trt_118
6,treatment,3,11,ego_trt_119
1,treatment,3,12,ego_trt_120
0,treatment,3,13,ego_trt_121
2,treatment,3,14,ego_trt_122
1,treatment,3,15,ego_trt_123
2,treatment,3,16,ego_trt_124
0,treatment,3,17,ego_trt_125
1,treatment,3,18,ego_trt_126
6,treatment,4,1,ego_trt_109
6,treatment,4,2,ego_trt_110
3,treatment,4,3,ego_trt_111
2,treatment,4,4,ego_trt_112
3,treatment,4,5,ego_trt_113
3,treatment,4,6,ego_trt_114
2,treatment,4,7,ego_trt_115
3,treatment,4,8,ego_trt_116
2,treatment,4,9,ego_trt_117
3,treatment,4,10,ego_trt_118
4,treatment,4,11,ego_trt_119
1,treatment,4,12,ego_trt_120
0,treatment,4,13,ego_trt_121
4,treatment,4,14,ego_trt_122
3,treatment,4,15,ego_trt_123
6,treatment,4,16,ego_trt_124
2,treatment,4,17,ego_trt_125
1,treatment,4,18,ego_trt_126
6,treatment,5,1,ego_trt_109
3,treatment,5,2,ego_trt_110
3,treatment,5,3,ego_trt_111
0,treatment,5,4,ego_trt_112
1,treatment,5,5,ego_trt_113
4,treatment,5,6,ego_trt_114
3,treatment,5,7,ego_trt_115
3,treatment,5,8,ego_trt_116
1,treatment,5,9,ego_trt_117
2,treatment,5,10,ego_trt_118
4,treatment,5,11,ego_trt_119
0,treatment,5,12,ego_trt_120
0,treatment,5,13,ego_trt_121
2,treatment,5,14,ego_trt_122
1,treatment,5,15,ego_trt_123
4,treatment,5,16,ego_trt_124
0,treatment,5,17,ego_trt_125
0,treatment,5,18,ego_trt_126
4,treatment,2,1,ego_trt_127
4,treatment,2,2,ego_trt_128
6,treatment,2,3,ego_trt_129
3,treatment,2,4,ego_trt_130
3,treatment,2,5,ego_trt_131
3,treatment,2,6,ego_trt_132
4,treatment,2,7,ego_trt_133
1,treatment,2,8,ego_trt_134
3,treatment,2,9,ego_trt_135
1,treatment,2,10,ego_trt_136
0,treatment,2,11,ego_trt_137
2,treatment,2,12,ego_trt_138
0,treatment,2,13,ego_trt_139
6,treatment,2,14,ego_trt_140
1,treatment,2,15,ego_trt_141
1,treatment,2,16,ego_trt_142
2,treatment,2,17,ego_trt_143
1,treatment,2,18,ego_trt_144
4,treatment,3,1,ego_trt_127
6,treatment,3,2,ego_trt_128
3,treatment,3,3,ego_trt_129
4,treatment,3,4,ego_trt_130
4,treatment,3,5,ego_trt_131
3,treatment,3,6,ego_trt_132
2,treatment,3,7,ego_trt_133
2,treatment,3,8,ego_trt_134
0,treatment,3,9,ego_trt_135
0,treatment,3,10,ego_trt_136
4,treatment,3,11,ego_trt_137
0,treatment,3,12,ego_trt_138
2,treatment,3,13,ego_trt_139
6,treatment,3,14,ego_trt_140
0,treatment,3,15,ego_trt_141
2,treatment,3,16,ego_trt_142
2,treatment,3,17,ego_trt_143
1,treatment,3,18,ego_trt_144
5,treatment,4,1,ego_trt_127
5,treatment,4,2,ego_trt_128
0,treatment,4,3,ego_trt_129
5,treatment,4,4,ego_trt_130
3,treatment,4,5,ego_trt_131
4,treatment,4,6,ego_trt_132
3,treatment,4,7,ego_trt_133
1,treatment,4,8,ego_trt_134
4,treatment,4,9,ego_trt_135
3,treatment,4,10,ego_trt_136
3,treatment,4,11,ego_trt_137
3,treatment,4,12,ego_trt_138
0,treatment,4,13,ego_trt_139
5,treatment,4,14,ego_trt_140
1,treatment,4,15,ego_trt_141
2,treatment,4,16,ego_trt_142
1,treatment,4,17,ego_trt_143
1,treatment,4,18,ego_trt_144
3,treatment,5,1,ego_trt_127
6,treatment,5,2,ego_trt_128
2,treatment,5,3,ego_trt_129
2,treatment,5,4,ego_trt_130
1,treatment,5,5,ego_trt_131
6,treatment,5,6,ego_trt_132
4,treatment,5,7,ego_trt_133
0,treatment,5,8,ego_trt_134
4,treatment,5,9,ego_trt_135
2,treatment,5,10,ego_trt_136
4,treatment,5,11,ego_trt_137
3,treatment,5,12,ego_trt_138
1,treatment,5,13,ego_trt_139
4,treatment,5,14,ego_trt_140
1,treatment,5,15,ego_trt_141
4,treatment,5,16,ego_trt_142
0,treatment,5,17,ego_trt_143
0,treatment,5,18,ego_trt_144
5,treatment,2,1,ego_trt_145
6,treatment,2,2,ego_trt_146
5,treatment,2,3,ego_trt_147
4,treatment,2,4,ego_trt_148
4,treatment,2,5,ego_trt_149
3,treatment,2,6,ego_trt_150
3,treatment,2,7,ego_trt_151
1,treatment,2,8,ego_trt_152
3,treatment,2,9,ego_trt_153
5,treatment,2,10,ego_trt_154
3,treatment,2,11,ego_trt_155
4,treatment,2,12,ego_trt_156
2,treatment,2,13,ego_trt_157
2,treatment,2,14,ego_trt_158
0,treatment,2,15,ego_trt_159
2,treatment,2,16,ego_trt_160
1,treatment,2,17,ego_trt_161
0,treatment,2,18,ego_trt_162
4,treatment,3,1,ego_trt_145
