condition,networksize,gini
control,15,0.35555555555555557
control,16,0.3333333333333333
control,17,0.3333333333333333
control,18,0.2777777777777778
control,1,0
control,2,0
control,3,0.13333333333333333
control,4,0.25
control,5,0.16
control,6,0.23333333333333334
control,7,0.17142857142857143
control,8,0.225
control,9,0.2
control,10,0.2
control,11,0.1818181818181818
control,12,0.2777777777777778
control,13,0.2948717948717949
control,14,0.23809523809523808
control,15,0.23333333333333334
control,16,0.23958333333333334
control,17,0.23529411764705882
control,18,0.21296296296296297
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.1875
control,5,0.1
control,6,0.16666666666666666
control,7,0.071428571
control,8,0.09375
control,9,0.1388888888888889
control,10,0.15
control,11,0.2909090909090909
control,12,0.3611111111111111
control,13,0.358974359
control,14,0.32142857142857145
control,15,0.32222222222222224
control,16,0.3229166666666667
control,17,0.29411764705882354
control,18,0.26851851851851855
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.1875
control,5,0.1
control,6,0.23333333333333334
control,7,0.17142857142857143
control,8,0.175
control,9,0.2222222222222222
control,10,0.18
control,11,0.1818181818181818
control,12,0.15
control,13,0.16923076923076924
control,14,0.11428571428571428
control,15,0.14666666666666667
control,16,0.175
control,17,0.29411764705882354
control,18,0.26851851851851855
treatment,1,0
treatment,2,0.16666666666666666
treatment,3,0.2222222222222222
treatment,4,0.1875
treatment,5,0.24
treatment,6,0.23333333333333334
treatment,7,0.17142857142857143
treatment,8,0.2708333333333333
treatment,9,0.3148148148148148
treatment,10,0.3333333333333333
treatment,11,0.3181818181818182
treatment,12,0.2361111111111111
treatment,13,0.19230769230769232
treatment,14,0.2261904761904762
treatment,15,0.25555555555555554
treatment,16,0.2604166666666667
treatment,17,0.24509803921568626
treatment,18,0.26851851851851855
treatment,1,0
treatment,2,0.16666666666666666
treatment,3,0.16666666666666666
treatment,4,0.15
treatment,5,0.16
treatment,6,0.16666666666666666
treatment,7,0.17142857142857143
treatment,8,0.175
treatment,9,0.2222222222222222
treatment,10,0.26
treatment,11,0.23636363636363633
treatment,12,0.3333333333333333
treatment,13,0.3333333333333333
treatment,14,0.3333333333333333
treatment,15,0.3333333333333333
treatment,16,0.34375
treatment,17,0.3627450980392157
treatment,18,0.3611111111111111
treatment,1,0
treatment,2,0
treatment,3,0.16666666666666666
treatment,4,0.1875
treatment,5,0.24
treatment,6,0.23333333333333334
treatment,7,0.2571428571428571
treatment,8,0.3
treatment,9,0.3333333333333333
treatment,10,0.36
treatment,11,0.3818181818181818
treatment,12,0.4305555555555556
treatment,13,0.44871794871794873
treatment,14,0.44047619047619047
treatment,15,0.43333333333333335
treatment,16,0.4479166666666667
treatment,17,0.45098039215686275
treatment,18,0.46296296296296297
treatment,1,0
treatment,2,0
treatment,3,0.13333333333333333
treatment,4,0.16666666666666666
treatment,5,0.13333333333333333
treatment,6,0.2222222222222222
treatment,7,0.16666666666666666
treatment,8,0.22916666666666666
treatment,9,0.24074074074074073
treatment,10,0.2
treatment,11,0.21212121212121213
treatment,12,0.18055555555555555
treatment,13,0.21794871794871795
treatment,14,0.23809523809523808
